TaskId,TaskType,TotalTime,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore
3584f2e1-e562-4e4c-bf25-476d5f68d985,KIST,5.0E9,STA,421750137,6,-1,-1,37820,-1.0,79.0,0.10437047,0.125,0.44444445,0.0027497914
3584f2e1-e562-4e4c-bf25-476d5f68d985,KIST,5.0E9,NA,219635740,6,-1,-1,41720,-1.0,72.0,0.09365623,0.085779086,0.36175498,0.0027497914
3584f2e1-e562-4e4c-bf25-476d5f68d985,KIST,5.0E9,IDA,230863456,6,-1,-1,41791,-1.0,72.0,0.10024365,0.083333336,0.34905648,0.0027497914
3584f2e1-e562-4e4c-bf25-476d5f68d985,KIST,5.0E9,VITRIVR,1879864988,6,-1,-1,37845,-1.0,80.0,0.10780135,0.083333336,0.5833333,0.0027497914
3584f2e1-e562-4e4c-bf25-476d5f68d985,KIST,5.0E9,CLUSTER,82110170,6,-1,-1,21938,-1.0,80.0,0.17408457,0.125,31.666666,0.0027497914
3584f2e1-e562-4e4c-bf25-476d5f68d985,KIST,5.0E9,LNA,227989143,6,-1,-1,41303,-1.0,72.0,0.087987006,0.055555556,0.3190789,0.0027497914
3584f2e1-e562-4e4c-bf25-476d5f68d987,KIST,5.0E9,STA,602351454,8,-1,-1,47172,-1.0,94.0,0.072797924,0.0625,0.30816156,0.0020623435
3584f2e1-e562-4e4c-bf25-476d5f68d987,KIST,5.0E9,NA,330793266,8,-1,-1,51119,-1.0,97.0,0.06320906,0.041666668,0.27131647,0.0020623435
3584f2e1-e562-4e4c-bf25-476d5f68d987,KIST,5.0E9,IDA,156584641,8,-1,-1,50737,-1.0,99.0,0.066700846,0.04365979,0.2539732,0.0020623435
3584f2e1-e562-4e4c-bf25-476d5f68d987,KIST,5.0E9,VITRIVR,1912557738,8,-1,-1,47010,-1.0,77.0,0.07301816,0.0625,0.5,0.0020623435
3584f2e1-e562-4e4c-bf25-476d5f68d987,KIST,5.0E9,CLUSTER,90259556,8,-1,-1,28416,-1.0,99.0,0.112548605,0.09375,23.75,0.0020623435
3584f2e1-e562-4e4c-bf25-476d5f68d987,KIST,5.0E9,LNA,323748070,8,-1,-1,51046,-1.0,97.0,0.059749868,0.0625,0.2393222,0.0020623435
3584f2e1-e562-4e4c-bf25-476d5f68d988,KIST,5.0E9,STA,626846700,9,-1,-1,56904,-1.0,94.0,0.06319465,0.06666667,0.27392137,0.0018331943
