TaskId,TaskType,TotalTime,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore
3584f2e1-e562-4e4c-bf25-476d5f68d120,KIST,5.0E9,CLUSTER,116045882,1,1597,1597,7956,0.33333334,92.0,0.42480868,0.5,7.3333344,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d120,KIST,5.0E9,LNA,92322085,1,516,516,10000,0.33333334,90.0,0.3379778,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d130,KIST,5.0E9,STA,141975353,1,1361,1361,10000,0.2857143,99.0,0.23912857,0.42857146,0.42857143,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d130,KIST,5.0E9,SQA,97960106,1,1361,1361,10000,0.2857143,100.0,0.23912857,0.42857146,0.42857143,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d130,KIST,5.0E9,NA,68907438,1,1361,1361,10000,0.2857143,100.0,0.23912857,0.42857146,0.42857143,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d130,KIST,5.0E9,IDA,56983047,1,1361,1361,10000,0.2857143,100.0,0.23912857,0.42857146,0.42857143,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d130,KIST,5.0E9,ASTAR,3713101035,1,1361,1361,10000,0.2857143,63.0,0.23912857,0.42857146,0.42857143,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d130,KIST,5.0E9,VITRIVR,313312120,1,1361,1361,10000,0.2857143,66.0,0.23912857,0.42857146,0.42857143,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d130,KIST,5.0E9,CLUSTER,65442731,1,151,151,7067,1.1428572,100.0,0.33837354,0.2857143,6.857142,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d130,KIST,5.0E9,LNA,61775650,1,1361,1361,10000,0.2857143,100.0,0.23912857,0.42857146,0.42857143,0.14285715
